k;t;r;value
p7;27;1;742.0
p8;27;1;0.0
p9;27;1;0.0
p10;27;1;0.0
p11;27;1;0.0
p12;27;1;0.0
p13;27;1;0.0
p14;27;1;0.0
p15;27;1;489.0
p16;27;1;1.0
p17;27;1;358.0
p18;27;1;0.0
p19;27;1;0.0
p20;27;1;0.0
p21;27;1;1800.0
p22;27;1;0.0
p23;27;1;-0.0
p24;27;1;1353.0
p25;27;1;0.0
p26;27;1;0.0
p27;27;1;239.0
p28;27;1;0.0
p1;28;1;0.0
p2;28;1;0.0
p3;28;1;18.0
p4;28;1;0.0
p5;28;1;0.0
p6;28;1;0.0
p7;28;1;743.0
p8;28;1;0.0
p9;28;1;0.0
p10;28;1;0.0
p11;28;1;0.0
p12;28;1;0.0
p13;28;1;0.0
p14;28;1;0.0
p15;28;1;489.0
p16;28;1;1.0
p17;28;1;358.0
p18;28;1;0.0
p19;28;1;0.0
p20;28;1;0.0
p21;28;1;1799.0
p22;28;1;0.0
p23;28;1;-0.0
p24;28;1;1353.0
p25;28;1;0.0
p26;28;1;0.0
p27;28;1;239.0
p28;28;1;0.0
p1;29;1;29.0
p2;29;1;0.0
p3;29;1;274.0
p4;29;1;0.0
p5;29;1;0.0
p6;29;1;0.0
p7;29;1;1301.0
p8;29;1;0.0
p9;29;1;0.0
p10;29;1;0.0
p11;29;1;0.0
p12;29;1;0.0
p13;29;1;0.0
p14;29;1;0.0
p15;29;1;701.0
p16;29;1;0.0
p17;29;1;603.0
p18;29;1;0.0
p19;29;1;0.0
p20;29;1;0.0
p21;29;1;1870.0
p22;29;1;0.0
p23;29;1;-0.0
p24;29;1;0.0
p25;29;1;0.0
p26;29;1;0.0
p27;29;1;222.0
p28;29;1;0.0
p1;30;1;1.0
p2;30;1;0.0
p3;30;1;400.0
p4;30;1;0.0
p5;30;1;0.0
p6;30;1;0.0
p7;30;1;37.0
p8;30;1;0.0
p9;30;1;0.0
p10;30;1;0.0
p11;30;1;0.0
p12;30;1;0.0
p13;30;1;0.0
p14;30;1;0.0
p15;30;1;926.0
p16;30;1;0.0
p17;30;1;427.0
p18;30;1;0.0
p19;30;1;0.0
p20;30;1;0.0
p21;30;1;0.0
p22;30;1;0.0
p23;30;1;-0.0
p24;30;1;3209.0
p25;30;1;0.0
p26;30;1;0.0
p27;30;1;0.0
p28;30;1;0.0
p1;31;1;0.0
p2;31;1;0.0
p3;31;1;0.0
p4;31;1;0.0
p5;31;1;0.0
p6;31;1;0.0
p7;31;1;1128.0
p8;31;1;0.0
p9;31;1;0.0
p10;31;1;0.0
p11;31;1;0.0
p12;31;1;0.0
p13;31;1;0.0
p14;31;1;0.0
p15;31;1;399.0
p16;31;1;0.0
p17;31;1;510.0
p18;31;1;0.0
p19;31;1;0.0
p20;31;1;0.0
p21;31;1;1906.0
p22;31;1;0.0
p23;31;1;-0.0
p24;31;1;1057.0
p25;31;1;0.0
p26;31;1;0.0
p27;31;1;0.0
p28;31;1;0.0
p1;32;1;0.0
p2;32;1;0.0
p3;32;1;117.0
p4;32;1;0.0
p5;32;1;0.0
p6;32;1;0.0
p7;32;1;509.0
p8;32;1;0.0
p9;32;1;0.0
p10;32;1;0.0
p11;32;1;0.0
p12;32;1;0.0
p13;32;1;1.0
p14;32;1;0.0
p15;32;1;565.0
p16;32;1;1.0
p17;32;1;463.0
p18;32;1;0.0
p19;32;1;0.0
p20;32;1;0.0
p21;32;1;1860.0
p22;32;1;0.0
p23;32;1;-0.0
p24;32;1;987.0
p25;32;1;0.0
p26;32;1;0.0
p27;32;1;497.0
p28;32;1;0.0
p1;33;1;0.0
p2;33;1;0.0
p3;33;1;75.0
p4;33;1;0.0
p5;33;1;0.0
p6;33;1;0.0
p7;33;1;772.0
p8;33;1;0.0
p9;33;1;0.0
p10;33;1;0.0
p11;33;1;0.0
p12;33;1;0.0
p13;33;1;0.0
p14;33;1;0.0
p15;33;1;537.0
p16;33;1;0.0
p17;33;1;418.0
p18;33;1;0.0
p19;33;1;0.0
p20;33;1;0.0
p21;33;1;1964.0
p22;33;1;0.0
p23;33;1;-0.0
p24;33;1;1007.0
p25;33;1;0.0
p26;33;1;0.0
p27;33;1;227.0
p28;33;1;0.0
p1;34;1;0.0
p2;34;1;0.0
p3;34;1;40.0
p4;34;1;0.0
p5;34;1;0.0
p6;34;1;0.0
p7;34;1;755.0
p8;34;1;0.0
p9;34;1;0.0
p10;34;1;0.0
p11;34;1;0.0
p12;34;1;0.0
p13;34;1;0.0
p14;34;1;0.0
p15;34;1;506.0
p16;34;1;0.0
p17;34;1;382.0
p18;34;1;0.0
p19;34;1;0.0
p20;34;1;0.0
p21;34;1;1690.0
p22;34;1;0.0
p23;34;1;-0.0
p24;34;1;1394.0
p25;34;1;0.0
p26;34;1;0.0
p27;34;1;233.0
p28;34;1;0.0
p1;35;1;0.0
p2;35;1;0.0
p3;35;1;18.0
p4;35;1;0.0
p5;35;1;0.0
p6;35;1;0.0
p7;35;1;743.0
p8;35;1;0.0
p9;35;1;0.0
p10;35;1;0.0
p11;35;1;0.0
p12;35;1;0.0
p13;35;1;0.0
p14;35;1;0.0
p15;35;1;489.0
p16;35;1;1.0
p17;35;1;358.0
p18;35;1;0.0
p19;35;1;0.0
p20;35;1;0.0
p21;35;1;1800.0
p22;35;1;0.0
p23;35;1;-0.0
p24;35;1;1353.0
p25;35;1;0.0
p26;35;1;0.0
p27;35;1;238.0
p28;35;1;0.0
p1;36;1;18.0
p2;36;1;0.0
p3;36;1;355.0
p4;36;1;0.0
p5;36;1;0.0
p6;36;1;0.0
p7;36;1;741.0
p8;36;1;0.0
p9;36;1;0.0
p10;36;1;0.0
p11;36;1;0.0
p12;36;1;0.0
p13;36;1;0.0
p14;36;1;0.0
p15;36;1;736.0
