f;n;t;r;value
Blanqueta;2;6;1;0.0
Alón;2;6;1;0.0
Punta;2;6;1;0.0
Jamoncito;2;6;1;1071.5268817204305
Medio Muslo;2;6;1;2006.7743722792302
Entero;2;7;1;927.0
Medio Pollo;2;7;1;1026.5
Medio Pollo Superior;2;7;1;1257.677419354839
Medio Pollo Inferior;2;7;1;1131.8387096774204
Cuarto de Pollo Superior;2;7;1;1457.709677419355
Muslo Entero;2;7;1;1317.822580645162
Pechuga Completa;2;7;1;1875.967741935484
Ala Completa;2;7;1;810.0000000000009
Media Pechuga;2;7;1;2174.032258064516
Blanqueta;2;7;1;0.0
Alón;2;7;1;0.0
Punta;2;7;1;0.0
Jamoncito;2;7;1;1084.6236559139788
Medio Muslo;2;7;1;1981.6621910870435
Entero;2;8;1;921.9999999999991
Medio Pollo;2;8;1;1021.5
Medio Pollo Superior;2;8;1;1258.8387096774195
Medio Pollo Inferior;2;8;1;1118.8387096774195
Cuarto de Pollo Superior;2;8;1;1458.8709677419356
Muslo Entero;2;8;1;1305.2419354838703
Pechuga Completa;2;8;1;1877.4193548387102
Ala Completa;2;8;1;810.5806451612916
Media Pechuga;2;8;1;2175.4838709677424
Blanqueta;2;8;1;0.0
Alón;2;8;1;0.0
Punta;2;8;1;0.0
Jamoncito;2;8;1;1095.311827956989
Medio Muslo;2;8;1;1956.5500098948569
Entero;2;9;1;921.9999999999991
Medio Pollo;2;9;1;1022.5
Medio Pollo Superior;2;9;1;1258.8387096774195
Medio Pollo Inferior;2;9;1;1118.4193548387093
Cuarto de Pollo Superior;2;9;1;1458.8709677419356
Muslo Entero;2;9;1;1305.2419354838712
Pechuga Completa;2;9;1;1876.9354838709678
Ala Completa;2;9;1;810.4838709677415
Media Pechuga;2;9;1;2175.4838709677424
Blanqueta;2;9;1;0.0
Alón;2;9;1;0.0
Punta;2;9;1;0.0
Jamoncito;2;9;1;1095.311827956989
Medio Muslo;2;9;1;1955.9139784946228
Entero;2;10;1;924.0
Medio Pollo;2;10;1;1021.5
Medio Pollo Superior;2;10;1;1258.8387096774195
Medio Pollo Inferior;2;10;1;1118.4193548387093
Cuarto de Pollo Superior;2;10;1;1458.8709677419356
Muslo Entero;2;10;1;1304.82258064516
Pechuga Completa;2;10;1;1876.9354838709678
Ala Completa;2;10;1;810.3870967741932
Media Pechuga;2;10;1;2175.0
Blanqueta;2;10;1;0.0
Alón;2;10;1;0.0
Punta;2;10;1;0.0
Jamoncito;2;10;1;1095.311827956989
Medio Muslo;2;10;1;1955.9139784946228
Entero;2;11;1;921.9999999999991
Medio Pollo;2;11;1;1021.5
Medio Pollo Superior;2;11;1;1258.8387096774195
Medio Pollo Inferior;2;11;1;1119.2580645161288
Cuarto de Pollo Superior;2;11;1;1458.8709677419356
Muslo Entero;2;11;1;1304.82258064516
Pechuga Completa;2;11;1;1876.9354838709678
Ala Completa;2;11;1;810.5806451612916
Media Pechuga;2;11;1;2175.967741935485
Blanqueta;2;11;1;0.0
Alón;2;11;1;0.0
Punta;2;11;1;9.094947017729282e-12
Jamoncito;2;11;1;1095.311827956989
Medio Muslo;2;11;1;1955.9139784946228
Entero;2;12;1;921.9999999999991
Medio Pollo;2;12;1;1021.5
Medio Pollo Superior;2;12;1;1258.8387096774195
Medio Pollo Inferior;2;12;1;1118.4193548387093
Cuarto de Pollo Superior;2;12;1;1460.032258064516
Muslo Entero;2;12;1;1305.2419354838712
Pechuga Completa;2;12;1;1876.9354838709678
Ala Completa;2;12;1;810.3870967741932
Media Pechuga;2;12;1;2175.0
Blanqueta;2;12;1;0.0
Alón;2;12;1;0.0
Punta;2;12;1;0.0
Jamoncito;2;12;1;1095.4623655913983
Medio Muslo;2;12;1;1956.1827956989246
Entero;2;13;1;921.9999999999991
Medio Pollo;2;13;1;1021.5
Medio Pollo Superior;2;13;1;1258.8387096774195
Medio Pollo Inferior;2;13;1;1118.4193548387093
Cuarto de Pollo Superior;2;13;1;1460.032258064516
Muslo Entero;2;13;1;1305.2419354838712
Pechuga Completa;2;13;1;1876.9354838709678
Ala Completa;2;13;1;810.3870967741932
Media Pechuga;2;13;1;2175.0
Blanqueta;2;13;1;0.0
Alón;2;13;1;0.0
Punta;2;13;1;-1.8189894035458565e-12
Jamoncito;2;13;1;1095.4623655913983
Medio Muslo;2;13;1;1956.1827956989246
