f;u;r;value
Entero;2;7;0.0
Entero;3;7;0.0
Entero;4;7;0.0
Entero;5;7;0.0
Entero;6;7;0.0
Entero;7;7;0.0
Entero;8;7;839.0018153159181
Medio Pollo;1;7;0.0
Medio Pollo;2;7;0.0
Medio Pollo;3;7;0.0
Medio Pollo;4;7;0.0
Medio Pollo;5;7;0.0
Medio Pollo;6;7;0.0
Medio Pollo;7;7;0.0
Medio Pollo;8;7;613.5605809408249
Medio Pollo Superior;1;7;0.0
Medio Pollo Superior;2;7;0.0
Medio Pollo Superior;3;7;0.0
Medio Pollo Superior;4;7;0.0
Medio Pollo Superior;5;7;0.0
Medio Pollo Superior;6;7;0.0
Medio Pollo Superior;7;7;154.8616944053199
Medio Pollo Superior;8;7;1323.8709677419356
Medio Pollo Inferior;1;7;0.0
Medio Pollo Inferior;2;7;0.0
Medio Pollo Inferior;3;7;0.0
Medio Pollo Inferior;4;7;0.0
Medio Pollo Inferior;5;7;0.0
Medio Pollo Inferior;6;7;0.0
Medio Pollo Inferior;7;7;0.0
Medio Pollo Inferior;8;7;356.4700460574253
Cuarto de Pollo Superior;1;7;0.0
Cuarto de Pollo Superior;2;7;0.0
Cuarto de Pollo Superior;3;7;0.0
Cuarto de Pollo Superior;4;7;0.0
Cuarto de Pollo Superior;5;7;0.0
Cuarto de Pollo Superior;6;7;0.0
Cuarto de Pollo Superior;7;7;0.0
Cuarto de Pollo Superior;8;7;111.59401029051219
Muslo Entero;1;7;0.0
Muslo Entero;2;7;0.0
Muslo Entero;3;7;0.0
Muslo Entero;4;7;0.0
Muslo Entero;5;7;0.0
Muslo Entero;6;7;0.0
Muslo Entero;7;7;0.0
Muslo Entero;8;7;1295.205780080583
Pechuga Completa;1;7;0.0
Pechuga Completa;2;7;0.0
Pechuga Completa;3;7;0.0
Pechuga Completa;4;7;0.0
Pechuga Completa;5;7;0.0
Pechuga Completa;6;7;0.0
Pechuga Completa;7;7;0.0
Pechuga Completa;8;7;539.4330458266013
Ala Completa;1;7;0.0
Ala Completa;2;7;0.0
Ala Completa;3;7;0.0
Ala Completa;4;7;0.0
Ala Completa;5;7;0.0
Ala Completa;6;7;669.4485119656821
Ala Completa;7;7;773.1290322580645
Ala Completa;8;7;782.3225806451588
Media Pechuga;1;7;0.0
Media Pechuga;2;7;0.0
Media Pechuga;3;7;0.0
Media Pechuga;4;7;0.0
Media Pechuga;5;7;0.0
Media Pechuga;6;7;0.0
Media Pechuga;7;7;0.0
Media Pechuga;8;7;156.9851415216749
Blanqueta;1;7;0.0
Blanqueta;2;7;0.0
Blanqueta;3;7;0.0
Blanqueta;4;7;0.0
Blanqueta;5;7;0.0
Blanqueta;6;7;0.0
Blanqueta;7;7;0.0
Blanqueta;8;7;0.0
Alón;1;7;0.0
Alón;2;7;0.0
Alón;3;7;0.0
Alón;4;7;0.0
Alón;5;7;0.0
Alón;6;7;0.0
Alón;7;7;0.0
Alón;8;7;0.0
Punta;1;7;0.0
Punta;2;7;0.0
Punta;3;7;0.0
Punta;4;7;0.0
Punta;5;7;0.0
Punta;6;7;0.0
Punta;7;7;0.0
Punta;8;7;0.0
Jamoncito;1;7;0.0
Jamoncito;2;7;0.0
Jamoncito;3;7;0.0
Jamoncito;4;7;0.0
Jamoncito;5;7;0.0
Jamoncito;6;7;0.0
Jamoncito;7;7;0.0
Jamoncito;8;7;429.31609355618116
Medio Muslo;1;7;0.0
Medio Muslo;2;7;0.0
Medio Muslo;3;7;0.0
Medio Muslo;4;7;0.0
Medio Muslo;5;7;0.0
Medio Muslo;6;7;0.0
Medio Muslo;7;7;0.0
Medio Muslo;8;7;979.6537333924152
Entero;1;8;0.0
Entero;2;8;0.0
Entero;3;8;0.0
Entero;4;8;0.0
Entero;5;8;0.0
Entero;6;8;0.0
Entero;7;8;0.0
Entero;8;8;122.78070695134534
Medio Pollo;1;8;0.0
Medio Pollo;2;8;0.0
Medio Pollo;3;8;0.0
Medio Pollo;4;8;0.0
Medio Pollo;5;8;0.0
Medio Pollo;6;8;0.0
Medio Pollo;7;8;0.0
Medio Pollo;8;8;0.0
Medio Pollo Superior;1;8;0.0
Medio Pollo Superior;2;8;0.0
Medio Pollo Superior;3;8;0.0
Medio Pollo Superior;4;8;0.0
Medio Pollo Superior;5;8;0.0
Medio Pollo Superior;6;8;0.0
Medio Pollo Superior;7;8;0.0
Medio Pollo Superior;8;8;0.0
Medio Pollo Inferior;1;8;0.0
Medio Pollo Inferior;2;8;0.0
Medio Pollo Inferior;3;8;0.0
Medio Pollo Inferior;4;8;0.0
Medio Pollo Inferior;5;8;0.0
Medio Pollo Inferior;6;8;0.0
Medio Pollo Inferior;7;8;0.0
Medio Pollo Inferior;8;8;154.9378103619183
Cuarto de Pollo Superior;1;8;0.0
Cuarto de Pollo Superior;2;8;0.0
Cuarto de Pollo Superior;3;8;0.0
Cuarto de Pollo Superior;4;8;0.0
Cuarto de Pollo Superior;5;8;0.0
Cuarto de Pollo Superior;6;8;0.0
Cuarto de Pollo Superior;7;8;0.0
Cuarto de Pollo Superior;8;8;249.66944152156043
Muslo Entero;1;8;0.0
Muslo Entero;2;8;0.0
Muslo Entero;3;8;0.0
Muslo Entero;4;8;0.0
Muslo Entero;5;8;0.0
Muslo Entero;6;8;0.0
Muslo Entero;7;8;0.0
Muslo Entero;8;8;1060.1900043085107
Pechuga Completa;1;8;0.0
Pechuga Completa;2;8;0.0
Pechuga Completa;3;8;0.0
Pechuga Completa;4;8;0.0
Pechuga Completa;5;8;0.0
Pechuga Completa;6;8;0.0
Pechuga Completa;7;8;0.0
Pechuga Completa;8;8;446.5509352635529
Ala Completa;1;8;0.0
Ala Completa;2;8;0.0
Ala Completa;3;8;0.0
Ala Completa;4;8;0.0
Ala Completa;5;8;0.0
