f;n;t;r;value
Medio Pollo Inferior;2;23;1;67.57424831378805
Cuarto de Pollo Superior;2;23;1;65.68011626806494
Muslo Entero;2;23;1;72.00823559160627
Pechuga Completa;2;23;1;65.86105108964317
Ala Completa;2;23;1;94.15748311951822
Media Pechuga;2;23;1;72.23450998418338
Blanqueta;2;23;1;108.8027173872651
Alón;2;23;1;113.42207124453326
Punta;2;23;1;117.86876995022749
Jamoncito;2;23;1;94.79700438297074
Medio Muslo;2;23;1;72.6861394900785
Entero;2;24;1;59.49675916138367
Medio Pollo;2;24;1;61.558904692310875
Medio Pollo Superior;2;24;1;61.527476563301114
Medio Pollo Inferior;2;24;1;67.57424831378805
Cuarto de Pollo Superior;2;24;1;65.68011626806494
Muslo Entero;2;24;1;72.00823559160627
Pechuga Completa;2;24;1;65.86105108964317
Ala Completa;2;24;1;94.15748311951822
Media Pechuga;2;24;1;72.23450998418338
Blanqueta;2;24;1;108.8027173872651
Alón;2;24;1;113.42207124453326
Punta;2;24;1;117.86876995022749
Jamoncito;2;24;1;94.79700438297074
Medio Muslo;2;24;1;72.6861394900785
Entero;2;25;1;59.49675916138368
Medio Pollo;2;25;1;61.55890469231089
Medio Pollo Superior;2;25;1;61.527476563301114
Medio Pollo Inferior;2;25;1;67.57424831378805
Cuarto de Pollo Superior;2;25;1;65.68011626806494
Muslo Entero;2;25;1;72.00823559160627
Pechuga Completa;2;25;1;65.86105108964317
Ala Completa;2;25;1;94.15748311951822
Media Pechuga;2;25;1;72.23450998418338
Blanqueta;2;25;1;108.8027173872651
Alón;2;25;1;113.42207124453326
Punta;2;25;1;117.86876995022749
Jamoncito;2;25;1;94.79700438297074
Medio Muslo;2;25;1;72.6861394900785
Entero;2;26;1;59.49675916138367
Medio Pollo;2;26;1;61.5589046923109
Medio Pollo Superior;2;26;1;61.52747656330112
Medio Pollo Inferior;2;26;1;67.57424831378805
Cuarto de Pollo Superior;2;26;1;65.68011626806494
Muslo Entero;2;26;1;72.00823559160627
Pechuga Completa;2;26;1;65.86105108964317
Ala Completa;2;26;1;94.15748311951822
Media Pechuga;2;26;1;72.23450998418338
Blanqueta;2;26;1;108.8027173872651
Alón;2;26;1;113.42207124453326
Punta;2;26;1;117.86876995022749
Jamoncito;2;26;1;94.79700438297074
Medio Muslo;2;26;1;72.6861394900785
Entero;2;27;1;59.496759161383665
Medio Pollo;2;27;1;61.5589046923109
Medio Pollo Superior;2;27;1;61.527476563301114
Medio Pollo Inferior;2;27;1;67.57424831378805
Cuarto de Pollo Superior;2;27;1;65.68011626806494
Muslo Entero;2;27;1;72.00823559160625
Pechuga Completa;2;27;1;65.86105108964317
Ala Completa;2;27;1;94.15748311951822
Media Pechuga;2;27;1;72.23450998418338
Blanqueta;2;27;1;108.8027173872651
