t;r;value
26;4;1165979.97630601
27;4;1048437.5985340807
28;4;1290104.9502923987
29;4;1319541.4620072157
30;4;1172718.456323816
31;4;1225120.5926217248
32;4;1333070.265465528
33;4;1358887.1631556405
34;4;1185456.752083478
35;4;1069285.6990756937
36;4;1187315.7698579559
37;4;1234631.4753592853
38;4;1218252.8085014904
39;4;1163877.7046212726
40;4;1298470.493643669
41;4;1378097.2283027633
42;4;1108007.4380743087
43;4;1266790.1489803423
44;4;1026405.0516618264
45;4;1295950.6478264781
46;4;1242495.9187925865
47;4;1176030.478818567
48;4;1267761.924444726
49;4;1188450.193098873
50;4;1298218.6044988837
51;4;1190927.002933601
52;4;1395918.9635336474
53;4;1344683.3165009725
54;4;1199202.8775286255
55;4;1248832.2231404441
56;4;1179463.9234581806
57;4;1283557.1980127834
58;4;1170499.1526803481
59;4;1270204.4807928891
60;4;1362241.2544038093
61;4;1259098.6832379254
62;4;1034462.1813428807
63;4;1111695.6277900112
64;4;1062975.7640283222
65;4;1172392.3550849454
66;4;1185375.8336658378
67;4;1388567.5052121314
68;4;1140981.4232893446
69;4;1306981.8014221995
70;4;1102209.2815923588
71;4;1441720.9594571022
72;4;1282975.5158209577
73;4;1422517.590454926
74;4;1297412.5367179487
75;4;1171874.7240587887
76;4;1110571.4962129667
77;4;1230954.7469436463
78;4;1197203.2979991687
79;4;1418492.4315511377
80;4;1363357.7313969752
81;4;1074629.6543006736
82;4;1360794.581339576
83;4;1069347.3575680414
84;4;1328778.9003177027
85;4;1218690.0276367604
86;4;1416700.5218138716
87;4;1189550.27732648
88;4;1263857.1600414584
89;4;1186124.7069177448
90;4;1123043.8144969165
91;4;1183593.4166052598
92;4;1366845.0561419153
93;4;1417722.8886813563
94;4;1305580.5585271297
95;4;1250025.648759345
96;4;1202770.8033367812
97;4;1289098.597885393
98;4;1241184.0161739062
99;4;1219258.2686204598
100;4;1207221.5239963527
101;4;1202168.9676427247
102;4;1199213.4805799478
103;4;1262667.1608747786
104;4;1172700.2617267754
105;4;1091748.9514382856
106;4;1289406.292839024
107;4;1267156.5919458044
108;4;1314825.8805915355
109;4;1256770.758431465
110;4;1387026.0595806977
111;4;1260138.317634974
112;4;1164438.3406415787
113;4;1289448.8459816803
114;4;1151750.798184332
115;4;1089667.4447529016
116;4;1175013.1306432136
117;4;1318319.9445068429
118;4;1246762.3305868502
119;4;1113319.901468614
120;4;1201048.166173073
121;4;1171755.8842709893
122;4;1182559.0259041958
123;4;1279510.6286702638
124;4;1306458.4228345572
125;4;1304948.3052375338
126;4;1098120.4757986274
127;4;1559492.6281737601
128;4;1251399.9139371568
129;4;1274982.510017531
130;4;1104225.7540429477
131;4;1283245.2993042956
132;4;1194269.8141882168
133;4;1280465.8935046438
134;4;1264873.0133601003
135;4;1412057.1148334022
136;4;1403831.6578398042
137;4;1230632.505869557
138;4;1247032.351104448
139;4;1227507.2062831002
140;4;1263017.4003068882
141;4;1226947.8690645606
142;4;1204960.2606472678
143;4;1146967.9570109677
144;4;1223594.486787224
145;4;1078815.978776875
146;4;1279673.800678184
147;4;1078180.7797594361
148;4;1392863.805813231
149;4;1335766.7351218944
150;4;1306425.9389823505
151;4;1224574.7425506066
152;4;1143696.389237415
153;4;1139196.8968612796
154;4;1109767.886337534
155;4;1390284.4972195202
156;4;1391703.2844091533
157;4;1294670.178297315
158;4;1370776.122192357
159;4;1084401.080810185
160;4;1207138.5921842828
161;4;1366711.4638809334
162;4;1099829.68283197
163;4;1265002.254629621
164;4;1187541.7147151302
165;4;1183141.8286845065
166;4;1188347.502850208
167;4;1107485.78202553
168;4;1192879.7653139336
1;5;1065146.4629800615
2;5;1134725.6138317208
3;5;1164706.4172894673
4;5;1419813.7280734526
5;5;1254050.1444038656
6;5;1261787.19950269
7;5;1328263.51460463
8;5;1325759.926005691
9;5;1108670.5275609852
10;5;1155503.141761846
11;5;1083737.1155720025
12;5;1342170.502033133
13;5;1421105.7717485852
14;5;1009519.2765086934
15;5;1129106.7067944938
16;5;1324749.602976161
17;5;1245132.1286601666
18;5;1146474.6557940354
19;5;1365860.8931608244
20;5;1092908.2898155611
21;5;1185625.727343454
22;5;1371550.9485463835
23;5;1224375.572561097
24;5;1343503.045820046
25;5;1265571.1184313267
26;5;1337871.8594203263
27;5;1190864.756231336
28;5;1212238.7938908665
29;5;1247476.3469748506
30;5;1077953.2250876636
31;5;1357822.1498295343
32;5;1153045.2345208335
33;5;1113864.196026664
34;5;1223681.770237075
35;5;1073206.5401676404
36;5;1388067.6592397538
37;5;1306418.1342757975
38;5;1323469.2493970834
39;5;1256652.5161872276
40;5;1337852.8541811162
41;5;1190127.7345030452
42;5;1196705.6093998794
43;5;1364738.0372256613
44;5;1183055.0362369628
45;5;1199667.9536015477
46;5;1307993.0869076054
47;5;1265286.386410509
48;5;1312285.5242991229
49;5;1196667.2547266844
50;5;1346795.373970037
51;5;1144780.3467061175
52;5;1224807.8184996885
53;5;1180495.0024133949
54;5;1348496.5752207737
55;5;1208554.7156051514
56;5;1126853.9816803355
57;5;1261949.76475041
58;5;1068725.0284030377
59;5;1388813.9697215671
60;5;1244468.0585156325
61;5;1278115.4185026695
62;5;1153935.0281890393
63;5;1078926.8937876478
64;5;1172923.7477320125
65;5;1320680.5726552971
66;5;1523822.7300697188
67;5;1215707.4803091362
68;5;1045016.1009208687
69;5;1179319.9373447562
70;5;1232396.5997448629
71;5;1216943.1883932576
72;5;1339566.388721951
73;5;1052040.6541658114
74;5;1304048.357354828
75;5;1283562.0665440592
76;5;1159714.687315359
77;5;1163501.7859247401
78;5;1565421.7733053279
79;5;1329147.7958025814
80;5;1196682.5033252188
81;5;1212820.6696050374
82;5;1266056.870215081
83;5;1241739.2907728003
84;5;1187575.229724611
85;5;1269281.9019786024
86;5;1138472.813081157
87;5;1336461.5107307641
88;5;1074492.122705832
89;5;1103031.6837739372
90;5;1287692.5103371893
91;5;1189534.073534117
92;5;1387097.7837167047
93;5;1121582.2024968877
94;5;1368068.7131244147
95;5;1262510.1432249825
96;5;1159524.0995347355
97;5;1234837.216561794
98;5;1295727.794173873
99;5;1223864.4225959117
100;5;1321807.636151448
101;5;1091516.9737679902
102;5;1186910.3818300525
103;5;1324262.066142895
104;5;1286327.2630712737
105;5;1153387.9634178155
106;5;1181306.3874413222
107;5;1371779.061892721
108;5;1185758.6318932902
109;5;1198389.0671895724
110;5;1346456.6151766286
111;5;1138023.864150686
112;5;1143672.463937066
113;5;1213956.5044864253
114;5;1319797.670091816
115;5;1351065.0454906756
116;5;1204355.2392358582
117;5;1277378.9158129108
118;5;1154671.7870577995
119;5;1196099.209233868
120;5;1410260.089927215
121;5;1131383.4620292764
122;5;1088362.948449839
123;5;1184205.1713999545
124;5;1329674.2640646663
125;5;1212163.1102876994
126;5;1155583.1024955611
127;5;1328860.5196806346
128;5;1179622.7357346003
129;5;1106749.0287432994
130;5;1295719.2782178237
131;5;1317593.9838510898
132;5;1037660.1889916391
133;5;1253547.5277314074
134;5;1400604.1229950744
135;5;1293234.9218818808
136;5;1175033.809440957
137;5;1384588.2279357137
138;5;1121472.6200747169
139;5;1243569.7507656964
140;5;1210167.7427024462
141;5;1302010.907376846
142;5;1265544.9337125707
143;5;1294414.6361951993
144;5;1434225.7634938764
145;5;1138077.0014063697
146;5;1366214.9258045205
147;5;1115994.4072077
148;5;1236492.034026551
149;5;1236949.0444115708
150;5;1262859.6498092413
151;5;1318719.1174904222
152;5;1413001.1905879602
153;5;1230775.9552565606
154;5;1322873.6515001473
155;5;1173671.1715051974
156;5;1108359.3864398154
157;5;1309192.2109100365
158;5;1269496.9167836613
159;5;1064506.855903963
160;5;1117587.860402526
161;5;1245598.5938219882
162;5;1280386.2168473292
163;5;1276443.635376122
164;5;1277088.6353401695
165;5;1255417.691259116
166;5;1145568.0663781362
167;5;1085908.8840422928
168;5;1064550.0324901417
1;6;1124790.671475377
2;6;1103712.9242409163
3;6;1098925.8181732486
4;6;1322669.877926259
5;6;1149884.9943509684
6;6;1135806.1385725285
7;6;1287632.885704703
8;6;1338300.8885559514
9;6;1127154.2916554841
10;6;1162732.9075638298
11;6;1161249.375893166
12;6;1243424.6688609326
13;6;1312237.861038494
14;6;1346357.7473022046
15;6;1196809.2786830938
16;6;1298537.7318002048
17;6;1294028.9710877566
18;6;1160613.223873256
19;6;1414629.1304696498
20;6;1151136.6144097834
21;6;1317839.1692762733
22;6;1211647.6551925524
23;6;1091574.5272425145
24;6;1344291.1808982464
25;6;1138271.8102925797
26;6;1170238.7611257983
27;6;1242501.6447254748
28;6;1130282.760029797
29;6;1324032.6870062584
30;6;1214068.665250779
31;6;1323598.6455231993
32;6;1306504.9033589712
33;6;1288817.6734299196
34;6;1144194.510656791
35;6;1188716.2885667323
36;6;1223368.4886238999
37;6;1408443.2292146066
38;6;1191170.1384719748
39;6;1177394.708087244
40;6;1268335.9505540794
41;6;1036688.2164914004
42;6;1121928.7283510063
43;6;1223970.342945592
44;6;1244797.6063156086
45;6;1319665.1918723627
46;6;1194072.2132296213
47;6;1188044.8571971064
48;6;1199095.9643139066
49;6;1445213.1283411612
50;6;1099764.3126402495
51;6;1226976.2840492083
52;6;1298552.6998315982
53;6;1238206.6927656978
54;6;1068719.5855950261
55;6;1281578.9398415717
56;6;1086494.9633607229
57;6;1333130.8009415595
58;6;1465712.2221504233
59;6;1335887.115081351
